(0, 1, 0)	1	0	58892	62581	38	37
(1, 0, 0)	2	0	43967	42495	33	33
(0, 2, 0)	1	0	14412	14887	15	14
(2, 0, 0)	2	0	18684	17641	18	18
(0, 3, 0)	2	0	75828	82302	33	33
(3, 0, 0)	2	0	20907	17132	11	11
(0, 4, 0)	1	0	17237	22898	19	18
(4, 0, 0)	2	0	36533	19776	20	20
(0, 5, 0)	1	4	4937	0	1	0
(5, 0, 0)	2	4	0	0	0	0
(0, 6, 0)	2	0	52770	84016	36	36
(6, 0, 0)	2	0	48282	14670	13	13
(0, 7, 0)	1	0	33707	29670	23	22
(7, 0, 0)	2	0	23391	11037	18	18
(0, 8, 0)	1	0	29705	44051	23	22
(8, 0, 0)	2	0	39230	27057	20	20
(0, 9, 0)	1	0	11511	9940	12	11
(9, 0, 0)	2	0	9190	5193	11	11
(0, 10, 0)	1	0	19020	6964	19	18
(10, 0, 0)	2	0	26228	43471	31	31
(0, 11, 0)	1	0	7138	32411	14	13
(11, 0, 0)	2	0	41238	19092	19	19
(0, 12, 0)	1	0	17437	11922	17	16
(12, 0, 0)	2	0	19155	18670	21	21
(0, 13, 0)	1	0	23067	38073	18	17
(13, 0, 0)	2	0	11588	11289	14	14
(0, 14, 0)	1	0	24543	32843	27	26
(14, 0, 0)	2	0	50379	25507	26	26
(0, 15, 0)	1	0	10333	7289	14	13
(15, 0, 0)	2	0	9420	5249	11	11
(0, 16, 0)	1	0	15782	46254	20	19
(16, 0, 0)	2	0	28157	5989	12	12
(0, 17, 0)	1	0	20472	11430	12	11
(17, 0, 0)	2	0	26283	15747	16	16
(0, 18, 0)	1	0	11515	24862	13	12
(18, 0, 0)	2	0	31084	14746	14	14
(0, 19, 0)	1	0	10779	16047	10	9
(19, 0, 0)	2	0	15765	4707	10	10
(0, 20, 0)	1	0	18778	49420	16	15
(20, 0, 0)	2	0	87445	32879	27	27
(0, 21, 0)	1	0	10492	11589	13	12
(21, 0, 0)	2	0	13062	10172	17	17
(0, 22, 0)	1	0	15075	28640	13	12
(22, 0, 0)	2	0	37347	7856	15	15
(0, 23, 0)	1	0	10033	10454	6	5
(23, 0, 0)	2	0	34314	6068	9	9
(0, 24, 0)	1	0	20174	45182	15	14
(24, 0, 0)	2	0	58526	6508	15	15
(0, 25, 0)	1	0	13537	1980	11	10
(25, 0, 0)	2	0	1614	4943	8	8
(0, 26, 0)	1	0	8409	3442	11	10
(26, 0, 0)	2	0	9478	17964	13	13
(0, 27, 0)	1	0	14536	11591	12	11
(27, 0, 0)	2	0	39146	18303	16	16
(0, 28, 0)	1	0	20783	39964	12	11
(28, 0, 0)	2	0	49931	16756	12	12
(0, 29, 0)	1	0	10558	304	8	7
(29, 0, 0)	2	0	151	5168	10	10
(0, 30, 0)	1	0	13940	11076	12	11
(30, 0, 0)	2	0	14741	15065	13	13
(0, 31, 0)	1	0	13749	19712	9	8
(31, 0, 0)	2	0	22340	5772	13	13
(0, 32, 0)	1	0	5104	4045	6	5
(32, 0, 0)	2	0	10330	6766	10	10
(0, 33, 0)	1	0	12349	104	9	8
(33, 0, 0)	2	0	60	6476	9	9
(0, 34, 0)	1	0	19325	30	11	10
(34, 0, 0)	2	0	33	4975	12	12
(0, 35, 0)	1	0	10257	8443	9	8
(35, 0, 0)	2	0	6367	7783	7	7
(0, 36, 0)	1	0	8287	6928	8	7
(36, 0, 0)	2	0	13008	16662	14	14
(0, 37, 0)	1	0	13701	11	8	7
(37, 0, 0)	2	0	364	1952	9	9
(0, 38, 0)	1	0	6567	736	8	7
(38, 0, 0)	2	0	711	5168	5	5
(0, 39, 0)	1	0	9183	89	9	8
(39, 0, 0)	2	0	100	9054	10	10
(0, 40, 0)	1	0	5141	9697	6	5
(40, 0, 0)	2	0	18831	4414	7	7
(0, 41, 0)	1	0	19293	51044	16	15
(41, 0, 0)	2	0	28898	12833	9	9
(0, 42, 0)	1	0	12580	7387	8	7
(42, 0, 0)	2	0	12114	16873	11	11
(0, 43, 0)	1	0	7387	1675	8	7
(43, 0, 0)	2	0	2253	7459	10	10
(0, 44, 0)	1	0	7386	2692	6	5
(44, 0, 0)	2	0	3589	6274	5	5
(0, 45, 0)	1	0	4938	84	6	5
(45, 0, 0)	2	0	104	2642	7	7
(0, 46, 0)	1	0	7631	11423	10	9
(46, 0, 0)	2	0	6387	2269	5	5
(0, 47, 0)	1	3	4982	7494	3	3
(47, 0, 0)	2	3	8325	1966	3	2
(1, 2, 0)	1	0	43836	41823	27	26
(2, 1, 0)	2	0	27449	23504	23	23
(1, 3, 0)	1	0	71382	97977	47	46
(3, 1, 0)	2	0	16093	6578	12	12
(1, 4, 0)	1	0	21818	32398	23	22
(4, 1, 0)	2	0	20582	12647	17	17
(1, 5, 0)	1	4	2539	0	1	0
(5, 1, 0)	2	4	0	0	0	0
(1, 6, 0)	1	0	35998	63202	24	23
(6, 1, 0)	1	0	68298	16652	21	20
(1, 7, 0)	1	0	9156	16396	17	16
(7, 1, 0)	2	0	20812	4856	21	21
(1, 8, 0)	1	0	16883	19807	15	14
(8, 1, 0)	2	0	39761	15100	17	17
(1, 9, 0)	1	0	21689	27809	20	19
(9, 1, 0)	2	0	9226	4963	12	12
(1, 10, 0)	1	0	10692	5693	15	14
(10, 1, 0)	2	0	4322	10984	19	19
(1, 11, 0)	1	0	7573	24360	13	12
(11, 1, 0)	2	0	26050	11137	13	13
(1, 12, 0)	1	0	14800	13612	17	16
(12, 1, 0)	2	0	23508	19576	28	28
(1, 13, 0)	1	0	9076	11815	13	12
(13, 1, 0)	2	0	37016	21739	23	23
(1, 14, 0)	1	0	14749	16169	19	18
(14, 1, 0)	2	0	49766	34848	25	25
(1, 15, 0)	1	0	18148	24752	16	15
(15, 1, 0)	2	0	10810	3237	11	11
(1, 16, 0)	1	0	8932	30867	19	18
(16, 1, 0)	2	0	35320	5017	15	15
(1, 17, 0)	1	0	6391	9283	12	11
(17, 1, 0)	2	0	24588	12369	17	17
(1, 18, 0)	1	0	18075	49067	25	24
(18, 1, 0)	2	0	31369	6341	13	13
(1, 19, 0)	1	0	18001	25365	12	11
(19, 1, 0)	2	0	17213	3946	11	11
(1, 20, 0)	1	0	25032	73732	24	23
(20, 1, 0)	2	0	29736	9663	20	20
(1, 21, 0)	1	0	3616	11772	16	15
(21, 1, 0)	2	0	21322	6662	20	20
(1, 22, 0)	1	0	7318	7812	10	9
(22, 1, 0)	2	0	16497	4112	9	9
(1, 23, 0)	1	0	11731	26780	11	10
(23, 1, 0)	2	0	38253	5439	10	10
(1, 24, 0)	1	0	11315	31805	12	11
(24, 1, 0)	2	0	77026	15915	20	20
(1, 25, 0)	1	0	14866	2750	16	15
(25, 1, 0)	2	0	1949	6712	10	10
(1, 26, 0)	1	0	5916	3281	13	12
(26, 1, 0)	2	0	4537	7129	14	14
(1, 27, 0)	1	0	8600	10394	11	10
(27, 1, 0)	2	0	13096	4642	7	7
(1, 28, 0)	1	0	9014	35010	10	9
(28, 1, 0)	2	0	39984	5649	12	12
(1, 29, 0)	1	0	8283	829	12	11
(29, 1, 0)	2	0	42	4641	8	8
(1, 30, 0)	1	0	5179	11594	13	12
(30, 1, 0)	2	0	13505	7572	14	14
(1, 31, 0)	1	0	10174	19974	13	12
(31, 1, 0)	2	0	22746	5452	13	13
(1, 32, 0)	1	0	3206	6295	8	7
(32, 1, 0)	2	0	11610	6204	11	11
(1, 33, 0)	1	0	11546	3	11	10
(33, 1, 0)	2	0	63	4424	9	9
(1, 34, 0)	1	0	6162	5	12	11
(34, 1, 0)	2	0	6	4682	9	9
(1, 35, 0)	1	0	4378	10068	10	9
(35, 1, 0)	2	0	10168	5434	9	9
(1, 36, 0)	1	0	3937	7956	11	10
(36, 1, 0)	2	0	10799	7045	12	12
(1, 37, 0)	1	0	9867	989	6	5
(37, 1, 0)	2	0	645	4297	10	10
