(0, 1, 0)	1	0	147811	54419	30	29
(1, 0, 0)	2	0	12110	5183	9	9
(0, 2, 0)	1	0	18622	33604	13	12
(2, 0, 0)	2	0	119137	67782	34	34
(0, 3, 0)	1	0	25698	101236	19	18
(3, 0, 0)	2	0	59148	6478	8	8
(0, 4, 0)	1	0	34973	77667	15	14
(4, 0, 0)	2	0	70756	8369	18	18
(0, 5, 0)	2	0	8790	32090	19	19
(5, 0, 0)	1	0	67987	11622	19	18
(0, 6, 0)	1	0	9024	87250	13	12
(6, 0, 0)	2	0	125270	64221	15	15
(0, 7, 0)	1	0	18389	13015	20	19
(7, 0, 0)	2	0	13455	6129	13	13
(0, 8, 0)	1	0	18324	42571	13	12
(8, 0, 0)	2	0	23716	5562	12	12
(0, 9, 0)	1	0	58474	108067	21	20
(9, 0, 0)	2	0	50053	4333	10	10
(0, 10, 0)	1	0	26716	122175	26	25
(10, 0, 0)	2	0	65724	19855	19	19
(0, 11, 0)	1	0	15580	50760	18	17
(11, 0, 0)	1	0	50383	39907	22	21
(0, 12, 0)	1	0	17541	63827	13	12
(12, 0, 0)	2	0	95456	10888	13	13
(0, 13, 0)	1	0	13745	31231	16	15
(13, 0, 0)	2	0	34468	24138	15	15
(0, 14, 0)	1	0	37036	10005	14	13
(14, 0, 0)	2	0	17137	14645	11	11
(0, 15, 0)	1	0	28191	54149	23	22
(15, 0, 0)	2	0	19454	3069	9	9
(1, 2, 0)	2	0	11512	18892	9	9
(2, 1, 0)	2	0	93072	14310	25	25
(1, 3, 0)	1	0	21745	94573	15	14
(3, 1, 0)	1	0	154762	78603	46	45
(1, 4, 0)	2	0	11875	50903	9	9
(4, 1, 0)	2	0	51348	5544	15	15
(1, 5, 0)	2	0	11536	7201	10	10
(5, 1, 0)	1	0	75088	22109	19	18
(1, 6, 0)	1	0	19093	151078	19	18
(6, 1, 0)	2	0	158121	35591	27	27
(1, 7, 0)	2	0	11914	5223	11	11
(7, 1, 0)	2	0	167369	25411	25	25
(1, 8, 0)	1	0	34268	99427	23	22
(8, 1, 0)	2	0	18662	4490	10	10
(1, 9, 0)	2	0	11596	21045	9	9
(9, 1, 0)	1	0	51047	8573	12	11
(1, 10, 0)	1	0	12180	76175	21	20
(10, 1, 0)	2	0	104048	17949	19	19
(1, 11, 0)	1	0	54372	176283	32	31
(11, 1, 0)	2	0	63863	9495	21	21
(1, 12, 0)	2	0	11859	18989	9	9
(12, 1, 0)	2	0	113351	15663	16	16
(1, 13, 0)	1	0	15543	48664	21	20
(13, 1, 0)	2	0	25151	5589	11	11
(1, 14, 0)	1	0	3431	7443	11	10
(14, 1, 0)	2	0	11973	6506	7	7
(1, 15, 0)	2	0	11722	12596	10	10
(15, 1, 0)	2	0	78170	20137	31	31
(2, 3, 0)	1	0	61896	76070	17	16
(3, 2, 0)	2	0	58592	25758	15	15
(2, 4, 0)	1	0	61538	70921	17	16
(4, 2, 0)	2	0	73424	31301	16	16
(2, 5, 0)	2	0	56792	18258	14	14
(5, 2, 0)	1	0	55433	37967	13	12
(2, 6, 0)	1	0	142419	176358	47	46
(6, 2, 0)	1	0	125222	87986	19	18
(2, 7, 0)	2	0	54911	45761	14	14
(7, 2, 0)	2	0	16019	40986	15	15
(2, 8, 0)	1	0	44010	27331	16	15
(8, 2, 0)	2	0	22033	28015	9	9
(2, 9, 0)	1	0	40684	90495	15	14
(9, 2, 0)	2	0	85273	28945	14	14
(2, 10, 0)	1	0	146982	174096	59	58
(10, 2, 0)	2	0	141772	66068	22	22
(2, 11, 0)	1	0	44534	79658	18	17
(11, 2, 0)	2	0	19655	23554	14	14
(2, 12, 0)	2	0	53856	105961	15	15
(12, 2, 0)	2	0	43736	20035	9	9
(2, 13, 0)	1	0	58067	42938	17	16
(13, 2, 0)	2	0	17318	10241	7	7
(2, 14, 0)	1	0	39153	13995	12	11
(14, 2, 0)	2	0	25211	81523	16	16
(2, 15, 0)	1	0	37750	35084	15	14
(15, 2, 0)	2	0	38117	31408	14	14
(3, 4, 0)	1	0	76751	59189	13	12
(4, 3, 0)	1	0	131508	124612	26	25
(3, 5, 0)	2	0	67012	28251	14	14
(5, 3, 0)	1	0	45181	64166	9	8
(3, 6, 0)	1	0	96289	143859	20	19
(6, 3, 0)	2	0	111941	57502	15	15
(3, 7, 0)	1	0	91030	55750	15	14
(7, 3, 0)	2	0	18750	68609	15	15
(3, 8, 0)	1	0	94512	42499	13	12
(8, 3, 0)	2	0	12839	29290	9	9
(3, 9, 0)	1	0	101140	120741	23	22
(9, 3, 0)	2	0	158225	126907	36	36
(3, 10, 0)	1	0	117078	138647	28	27
(10, 3, 0)	1	0	88125	87970	17	16
(3, 11, 0)	2	0	88449	85966	17	17
(11, 3, 0)	1	0	17084	62229	15	14
(3, 12, 0)	1	0	91516	113510	15	14
(12, 3, 0)	2	0	33409	50687	9	9
(3, 13, 0)	1	0	42412	10487	9	8
(13, 3, 0)	2	0	47211	77862	16	16
(3, 14, 0)	1	0	97501	17951	19	18
(14, 3, 0)	2	0	16982	75549	12	12
(3, 15, 0)	1	0	93256	76543	26	25
(15, 3, 0)	2	0	37228	78582	16	16
(4, 5, 0)	2	0	39753	20828	15	15
(5, 4, 0)	1	0	50259	51196	17	16
(4, 6, 0)	2	0	173576	173122	60	60
(6, 4, 0)	2	0	121776	88638	12	12
(4, 7, 0)	1	0	153679	179778	25	24
(7, 4, 0)	1	0	12684	84180	17	16
(4, 8, 0)	1	0	99504	44324	17	16
(8, 4, 0)	2	0	24226	64380	11	11
(4, 9, 0)	1	0	88121	97176	18	17
(9, 4, 0)	2	0	96028	70455	15	15
(4, 10, 0)	2	0	32094	26939	16	16
(10, 4, 0)	2	0	149013	136707	29	29
(4, 11, 0)	2	0	110250	68597	18	18
(11, 4, 0)	1	0	17710	61139	14	13
(4, 12, 0)	2	0	29895	33853	13	13
(12, 4, 0)	2	0	157765	112351	27	27
(4, 13, 0)	1	0	34283	6370	6	5
(13, 4, 0)	1	0	34535	60955	16	15
(4, 14, 0)	1	0	64089	12224	11	10
(14, 4, 0)	2	0	14244	52704	10	10
(4, 15, 0)	2	0	31825	16108	15	15
(15, 4, 0)	2	0	27201	57706	10	10
(5, 6, 0)	1	0	168124	178583	53	52
(6, 5, 0)	2	0	117266	49421	15	15
(5, 7, 0)	1	0	55620	9230	12	11
(7, 5, 0)	2	0	71906	110820	24	24
(5, 8, 0)	1	0	76132	33502	11	10
(8, 5, 0)	2	0	22758	20811	10	10
(5, 9, 0)	1	0	87030	131215	23	22
(9, 5, 0)	2	0	112753	70588	18	18
(5, 10, 0)	1	0	81062	91059	17	16
(10, 5, 0)	2	0	124276	101585	23	23
